added_fields,added_methods,added_packages,added_relations,added_types,agent,changed_fields,changed_methods,changed_relations,component_exact_fields,component_exact_methods,component_exact_packages,component_exact_relations,component_exact_types,component_fuzzy_field_preservation,component_fuzzy_matched_type_coverage,component_fuzzy_method_preservation,component_fuzzy_name_package_retention,component_fuzzy_relation_preservation,exact_similarity,fuzzy_similarity,likely_renamed_or_moved_types,missing_fields,missing_methods,missing_packages,missing_relations,missing_types,repo_slug,run_id,variant
11,63,1,139,6,codex,13,38,0,0.67234,0.506329,0.9375,0.710383,0.95,0.777251,0.85,0.584314,0.995294,0.213115,0.746482,0.641259,2,10,73,1,149,6,monkeyWie_proxyee,20260508T095142Z__monkeyWie_proxyee__c2c5bb4c,v3
12,241,18,270,27,codex,23,25,0,0.711246,0.594536,0.763158,0.779487,0.834225,0.785235,0.855615,0.639248,1.0,0.211966,0.744312,0.655311,2,6,16,0,191,0,mouzt_mzt-biz-log,20260508T095147Z__mouzt_mzt-biz-log__8d3a0271,generated
21,215,0,236,4,codex,23,24,0,0.691824,0.603136,1.0,0.805808,0.95122,0.733333,0.97561,0.623441,1.0,0.225045,0.803948,0.683633,2,13,39,0,191,0,mouzt_mzt-biz-log,20260508T095147Z__mouzt_mzt-biz-log__8d3a0271,v2
12,210,14,250,28,codex,24,23,0,0.643312,0.533172,0.805556,0.745583,0.829787,0.713781,0.851064,0.576271,1.0,0.222615,0.714809,0.633294,2,21,69,0,190,0,mouzt_mzt-biz-log,20260508T095147Z__mouzt_mzt-biz-log__8d3a0271,v3
29,57,1,222,7,codex,25,54,0,0.735683,0.632168,0.962963,0.77037,0.874074,0.76082,0.933333,0.668596,0.992674,0.22963,0.782712,0.684517,4,26,64,0,194,2,Netflix_concurrency-limits,20260508T095153Z__Netflix_concurrency-limits__e8df64d8,generated
25,71,0,206,6,codex,20,48,0,0.754545,0.610795,1.0,0.778828,0.880597,0.773893,0.940299,0.631579,1.0,0.253308,0.789139,0.687816,1,32,85,0,189,2,Netflix_concurrency-limits,20260508T095153Z__Netflix_concurrency-limits__e8df64d8,v2
29,72,2,216,8,codex,27,47,0,0.688372,0.572271,0.928571,0.757974,0.890511,0.696471,0.934307,0.587706,0.990288,0.228893,0.760587,0.658556,3,46,109,0,195,1,Netflix_concurrency-limits,20260508T095153Z__Netflix_concurrency-limits__e8df64d8,v3
1,14,4,105,18,codex,16,4,0,0.533333,0.751553,0.777778,0.785047,0.653846,0.727273,0.653846,0.886447,1.0,0.214953,0.707064,0.636272,0,0,9,0,63,0,pwittchen_ReactiveNetwork,20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,generated
7,13,8,100,22,codex,21,4,0,0.402299,0.718266,0.636364,0.77512,0.607143,0.569106,0.607143,0.868914,1.0,0.220096,0.651956,0.596315,0,4,14,0,63,0,pwittchen_ReactiveNetwork,20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,v2
13,15,4,100,19,codex,16,3,0,0.440678,0.714754,0.777778,0.746411,0.641509,0.609375,0.641509,0.835249,1.0,0.220096,0.671131,0.605933,0,5,22,0,63,0,pwittchen_ReactiveNetwork,20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,v3
20,76,7,267,36,codex,23,77,0,0.672897,0.463277,0.810811,0.549242,0.725275,0.805556,0.725275,0.606676,0.94064,0.166667,0.620762,0.595482,11,4,41,0,173,14,RikkaApps_Shizuku-API,20260508T095204Z__RikkaApps_Shizuku-API__a27f6e41,generated
22,80,7,299,42,codex,19,68,0,0.692494,0.464444,0.810811,0.5,0.761905,0.781421,0.708995,0.597101,0.961651,0.170213,0.61832,0.58805,6,20,62,0,169,13,RikkaApps_Shizuku-API,20260508T095204Z__RikkaApps_Shizuku-API__a27f6e41,v2
20,100,7,245,33,codex,27,69,0,0.627551,0.437209,0.810811,0.526316,0.79558,0.698864,0.751381,0.54023,0.977209,0.19883,0.619445,0.585718,4,32,82,0,166,12,RikkaApps_Shizuku-API,20260508T095204Z__RikkaApps_Shizuku-API__a27f6e41,v3
5,54,3,392,16,codex,376,23,0,0.240809,0.541379,0.941176,0.70184,0.877698,0.253438,0.892086,0.69469,0.993339,0.215951,0.668491,0.597901,5,3,38,0,247,14,TheoKanning_openai-java,20260508T095210Z__TheoKanning_openai-java__26909660,generated
8,63,2,318,6,codex,353,25,0,0.236766,0.635815,0.96,0.756393,0.926471,0.24327,0.941176,0.665263,0.992565,0.242261,0.717213,0.611718,5,45,46,0,245,10,TheoKanning_openai-java,20260508T095210Z__TheoKanning_openai-java__26909660,v2
11,87,1,379,10,codex,336,21,0,0.208251,0.469388,0.958333,0.64831,0.909091,0.219713,0.923636,0.579281,0.99168,0.212766,0.642714,0.578264,5,77,70,1,250,11,TheoKanning_openai-java,20260508T095210Z__TheoKanning_openai-java__26909660,v3
0,30,4,154,21,codex,12,52,0,0.540881,0.466667,0.736842,0.649842,0.735632,0.8,0.758621,0.648148,0.997576,0.29653,0.62701,0.651106,1,0,18,1,69,0,whwlsfb_JDumpSpider,20260508T095214Z__whwlsfb_JDumpSpider__24fe3186,generated
3,27,2,155,21,codex,9,48,0,0.547771,0.471698,0.823529,0.564784,0.735632,0.789916,0.758621,0.629808,0.997576,0.199336,0.612201,0.621627,1,4,31,1,86,0,whwlsfb_JDumpSpider,20260508T095214Z__whwlsfb_JDumpSpider__24fe3186,v2
2,34,2,165,20,codex,12,44,0,0.369048,0.398496,0.823529,0.51634,0.744186,0.654545,0.767442,0.563591,0.997576,0.163399,0.558358,0.58174,1,12,53,1,91,0,whwlsfb_JDumpSpider,20260508T095214Z__whwlsfb_JDumpSpider__24fe3186,v3
38,33,1,141,4,codex,15,48,0,0.470588,0.666667,0.933333,0.781538,0.95,0.470588,0.95,0.678652,1.0,0.153846,0.769216,0.62978,0,31,14,0,134,0,YeautyYE_netty-websocket-spring-boot-starter,20260508T095219Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,generated
10,28,1,135,3,codex,15,47,0,0.75,0.65127,0.933333,0.796238,0.962025,0.75,0.962025,0.657343,1.0,0.15674,0.815465,0.671761,0,6,25,0,134,0,YeautyYE_netty-websocket-spring-boot-starter,20260508T095219Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,v2
39,31,1,151,6,codex,6,39,0,0.465608,0.623256,0.933333,0.728358,0.926829,0.49162,0.926829,0.642686,1.0,0.149254,0.738041,0.617642,0,40,40,0,134,0,YeautyYE_netty-websocket-spring-boot-starter,20260508T095219Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,v3
3,16,0,71,2,codex,1,23,0,0.921348,0.689189,1.0,0.813187,0.974359,0.942529,0.923077,0.765152,1.0,0.197802,0.863586,0.720783,0,0,0,0,75,1,JMCuixy_swagger2word,20260508T095225Z__JMCuixy_swagger2word__0da57120,generated
1,14,0,72,1,codex,8,21,0,0.722892,0.659498,1.0,0.718232,0.974359,0.740741,0.974359,0.730159,1.0,0.176796,0.799393,0.693649,0,4,12,0,77,0,JMCuixy_swagger2word,20260508T095225Z__JMCuixy_swagger2word__0da57120,v2
2,38,0,73,2,codex,1,21,0,0.917647,0.602649,1.0,0.782609,0.95,0.928571,0.95,0.661818,1.0,0.195652,0.830459,0.705562,0,2,13,0,75,0,JMCuixy_swagger2word,20260508T095225Z__JMCuixy_swagger2word__0da57120,v3
1,125,0,178,6,codex,16,13,0,0.793103,0.467456,1.0,0.839623,0.962963,0.839024,0.907407,0.49375,1.0,0.306604,0.805084,0.673477,0,0,11,0,116,4,eugene-khyst_postgresql-event-sourcing,20260508T095230Z__eugene-khyst_postgresql-event-sourcing__90faafbb,generated
3,112,0,169,6,codex,12,16,0,0.789238,0.440252,1.0,0.837772,0.962963,0.824121,0.907407,0.465116,1.0,0.305085,0.798508,0.665135,0,8,17,0,118,4,eugene-khyst_postgresql-event-sourcing,20260508T095230Z__eugene-khyst_postgresql-event-sourcing__90faafbb,v2
4,120,0,168,8,codex,15,11,0,0.716279,0.443077,1.0,0.757946,0.93578,0.755319,0.880734,0.472131,1.0,0.293399,0.757386,0.645294,0,12,19,0,121,5,eugene-khyst_postgresql-event-sourcing,20260508T095230Z__eugene-khyst_postgresql-event-sourcing__90faafbb,v3
7,89,4,242,9,codex,21,92,0,0.615385,0.576613,0.666667,0.700162,0.751445,0.837758,0.83237,0.623266,0.981616,0.191248,0.672207,0.646001,6,6,80,0,257,20,facebook_SoLoader,20260508T095237Z__facebook_SoLoader__d3d721fb,generated
15,86,4,244,9,codex,19,81,0,0.555799,0.565445,0.666667,0.696921,0.785714,0.776758,0.797619,0.604703,0.980926,0.184765,0.66863,0.621024,3,20,105,0,259,25,facebook_SoLoader,20260508T095237Z__facebook_SoLoader__d3d721fb,v2
25,94,4,232,17,codex,17,115,0,0.505695,0.435244,0.666667,0.587646,0.719101,0.699387,0.775281,0.471264,0.988438,0.170284,0.585639,0.57316,5,39,136,0,265,23,facebook_SoLoader,20260508T095237Z__facebook_SoLoader__d3d721fb,v3
6,39,0,221,2,codex,35,11,0,0.612613,0.858696,1.0,0.840336,0.990654,0.623853,0.971963,0.868132,1.0,0.292437,0.863395,0.731902,0,6,11,0,200,1,feiniaojin_graceful-response,20260508T095244Z__feiniaojin_graceful-response__cf1cd118,generated
7,44,0,228,5,codex,31,10,0,0.606335,0.814414,1.0,0.81198,0.954955,0.62037,0.954955,0.83549,1.0,0.28619,0.836166,0.718187,0,13,25,0,201,0,feiniaojin_graceful-response,20260508T095244Z__feiniaojin_graceful-response__cf1cd118,v2
6,40,1,217,2,codex,34,11,0,0.579439,0.787072,0.933333,0.799314,0.981132,0.590476,0.962264,0.802326,1.0,0.271012,0.822741,0.705469,0,12,40,0,208,2,feiniaojin_graceful-response,20260508T095244Z__feiniaojin_graceful-response__cf1cd118,v3
7,36,14,210,34,codex,10,83,0,0.601695,0.281059,0.444444,0.543158,0.672,0.825581,0.656,0.398844,1.0,0.130526,0.521858,0.533038,0,3,6,1,203,9,jenkinsci_jenkinsfile-runner,20260508T095249Z__jenkinsci_jenkinsfile-runner__9be9c0fb,generated
5,27,18,172,35,codex,9,76,0,0.62037,0.26484,0.387097,0.541284,0.656,0.812121,0.64,0.36478,1.0,0.137615,0.511119,0.521178,0,8,23,1,204,10,jenkinsci_jenkinsfile-runner,20260508T095249Z__jenkinsci_jenkinsfile-runner__9be9c0fb,v2
11,33,18,181,39,codex,8,72,0,0.506438,0.232967,0.387097,0.48307,0.620155,0.723926,0.620155,0.33121,0.938024,0.126411,0.461229,0.486283,3,18,33,1,206,10,jenkinsci_jenkinsfile-runner,20260508T095249Z__jenkinsci_jenkinsfile-runner__9be9c0fb,v3
8,22,0,32,1,codex,0,1,0,0.902439,0.733945,1.0,0.918033,0.8,0.902439,0.8,0.769231,1.0,0.032787,0.857565,0.637409,0,0,0,0,27,0,mitre_HTTP-Proxy-Servlet,20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,generated
7,20,0,33,2,codex,0,1,0,0.871795,0.7,1.0,0.806452,0.666667,0.871795,0.666667,0.721649,1.0,0.032258,0.779371,0.583164,0,3,5,0,27,0,mitre_HTTP-Proxy-Servlet,20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,v2
13,14,0,25,1,codex,1,2,0,0.725,0.717391,1.0,0.814815,0.8,0.725,0.8,0.733333,1.0,0.037037,0.796673,0.604676,0,7,6,0,27,0,mitre_HTTP-Proxy-Servlet,20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,v3
1,23,3,56,9,codex,4,22,0,0.880503,0.716129,0.769231,0.740741,0.677966,0.939597,0.813559,0.743243,0.976389,0.148148,0.743938,0.668332,1,0,9,0,59,2,stealthcopter_AndroidNetworkTools,20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,generated
6,26,3,55,9,codex,12,19,0,0.713376,0.627986,0.769231,0.430769,0.631579,0.767123,0.77193,0.688645,0.974242,0.092308,0.596652,0.604878,5,4,21,0,63,4,stealthcopter_AndroidNetworkTools,20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,v2
7,25,3,56,9,codex,9,11,0,0.722581,0.626335,0.769231,0.492308,0.677966,0.767123,0.813559,0.674157,0.976603,0.076923,0.627761,0.610859,5,9,40,0,64,2,stealthcopter_AndroidNetworkTools,20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,v3
14,48,44,494,78,claude,41,30,0,0.484452,0.571707,0.421053,0.715976,0.621277,0.73399,0.638298,0.803815,0.989867,0.169625,0.599227,0.603744,4,12,36,0,348,7,19MisterX98_SeedcrackerX,20260510T103653Z__19MisterX98_SeedcrackerX__8e18d20d,generated
20,39,44,409,76,claude,54,35,0,0.427844,0.565884,0.421053,0.707926,0.641026,0.604317,0.649573,0.781513,1.0,0.169381,0.592093,0.584167,2,37,47,0,356,6,19MisterX98_SeedcrackerX,20260510T103653Z__19MisterX98_SeedcrackerX__8e18d20d,v2
54,105,37,331,83,claude,23,25,0,0.161404,0.246575,0.463768,0.455696,0.669643,0.306667,0.526786,0.40381,0.996905,0.063291,0.424022,0.400311,5,108,158,0,409,23,19MisterX98_SeedcrackerX,20260510T103653Z__19MisterX98_SeedcrackerX__8e18d20d,v3
18,132,26,417,92,claude,61,65,0,0.327122,0.275281,0.235294,0.49589,0.516432,0.452722,0.516432,0.447727,1.0,0.035616,0.405529,0.421287,3,51,224,0,287,11,airbnb_native-navigation,20260510T154735Z__airbnb_native-navigation__9cf50bf9,generated
5,81,25,620,125,claude,41,30,0,0.469136,0.436189,0.242424,0.51606,0.425703,0.680307,0.465863,0.752577,0.99133,0.029979,0.443094,0.498948,4,38,99,0,286,8,airbnb_native-navigation,20260510T154735Z__airbnb_native-navigation__9cf50bf9,v2
19,73,24,500,92,claude,39,26,0,0.435714,0.403476,0.133333,0.539877,0.443396,0.620865,0.509434,0.707926,0.978836,0.03681,0.432198,0.494631,5,52,144,2,285,12,airbnb_native-navigation,20260510T154735Z__airbnb_native-navigation__9cf50bf9,v3
40,33,15,237,38,claude,9,11,0,0.693767,0.575458,0.693878,0.608491,0.7,0.808777,0.7,0.85,0.981818,0.099057,0.646092,0.624263,2,3,17,0,145,4,amitshekhariitbhu_Android-Debug-Database,20260510T154742Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,generated
67,78,15,232,37,claude,19,12,0,0.435,0.382199,0.693878,0.5311,0.666667,0.566879,0.636364,0.633406,1.0,0.095694,0.537074,0.526546,1,31,67,0,146,11,amitshekhariitbhu_Android-Debug-Database,20260510T154742Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,v2
45,64,13,210,37,claude,12,12,0,0.364821,0.284375,0.723404,0.481013,0.676692,0.476596,0.646617,0.486486,0.973776,0.096203,0.497415,0.4842,3,54,102,0,147,10,amitshekhariitbhu_Android-Debug-Database,20260510T154742Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,v3
3,23,6,133,16,claude,9,25,0,0.65285,0.690076,0.692308,0.70903,0.712871,0.923077,0.792079,0.841713,1.0,0.280936,0.6961,0.714662,0,0,12,2,82,5,amitshekhariitbhu_PRDownloader,20260510T154753Z__amitshekhariitbhu_PRDownloader__611b12c8,generated
2,16,6,138,17,claude,23,25,0,0.830435,0.744914,0.785714,0.736842,0.82243,0.864253,0.841121,0.840989,1.0,0.276316,0.77878,0.719251,0,12,24,0,82,0,amitshekhariitbhu_PRDownloader,20260510T154753Z__amitshekhariitbhu_PRDownloader__611b12c8,v2
4,18,6,120,16,claude,26,24,0,0.763636,0.727273,0.785714,0.711268,0.830189,0.792453,0.849057,0.801457,1.0,0.28169,0.759499,0.704299,0,32,43,0,84,0,amitshekhariitbhu_PRDownloader,20260510T154753Z__amitshekhariitbhu_PRDownloader__611b12c8,v3
2,71,0,287,18,claude,29,38,0,0.724832,0.70289,1.0,0.758853,0.857143,0.784173,0.846154,0.751232,1.0,0.097808,0.791245,0.64617,1,0,55,0,248,10,awaitility_awaitility,20260510T154759Z__awaitility_awaitility__4fc23ccb,generated
11,77,0,274,5,claude,25,38,0,0.711409,0.683274,1.0,0.761092,0.923077,0.754448,0.911243,0.717822,0.994538,0.119454,0.802463,0.659422,2,8,75,0,242,10,awaitility_awaitility,20260510T154759Z__awaitility_awaitility__4fc23ccb,v2
11,85,0,255,0,claude,26,41,0,0.664286,0.615193,0.941176,0.701439,0.794702,0.704545,0.847682,0.656126,0.987649,0.086331,0.725906,0.611559,3,15,94,1,253,23,awaitility_awaitility,20260510T154759Z__awaitility_awaitility__4fc23ccb,v3
4,27,8,140,20,claude,6,41,0,0.843373,0.548822,0.714286,0.802139,0.752294,0.95393,0.788991,0.714597,0.990233,0.42246,0.736414,0.727344,3,1,22,0,76,3,DantSu_ESCPOS-ThermalPrinter-Android,20260510T154807Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,generated
4,45,8,140,24,claude,29,47,0,0.688279,0.542609,0.714286,0.730245,0.756757,0.786325,0.738739,0.645963,1.0,0.392371,0.691455,0.666856,0,13,32,0,83,5,DantSu_ESCPOS-ThermalPrinter-Android,20260510T154807Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,v2
15,23,8,130,28,claude,10,38,0,0.703614,0.553191,0.714286,0.776536,0.735043,0.820225,0.735043,0.717622,1.0,0.407821,0.704331,0.689026,0,29,34,0,82,3,DantSu_ESCPOS-ThermalPrinter-Android,20260510T154807Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,v3
3,50,7,169,17,claude,34,31,0,0.570492,0.680947,0.872727,0.756856,0.863636,0.649254,0.852273,0.74476,0.993333,0.413163,0.752002,0.704646,1,23,95,0,152,9,elvishew_xLog,20260510T154813Z__elvishew_xLog__3faa6b27,generated
5,31,8,169,20,claude,45,27,0,0.569659,0.765295,0.857143,0.789189,0.866667,0.634483,0.844444,0.826923,0.990973,0.436036,0.777646,0.721997,2,11,58,0,144,8,elvishew_xLog,20260510T154813Z__elvishew_xLog__3faa6b27,v2
5,39,1,127,5,claude,46,19,0,0.461538,0.666667,0.958333,0.744467,0.9,0.534413,0.8875,0.725738,0.989047,0.422535,0.746737,0.696098,2,18,117,1,160,13,elvishew_xLog,20260510T154813Z__elvishew_xLog__3faa6b27,v3
0,32,0,22,2,claude,3,6,0,0.692308,0.529032,1.0,0.808511,0.833333,0.75,0.833333,0.561644,1.0,0.042553,0.760539,0.585467,0,0,20,0,23,0,EsotericSoftware_reflectasm,20260510T154820Z__EsotericSoftware_reflectasm__e34c5e8b,generated
4,12,0,30,2,claude,0,1,0,0.774194,0.837838,1.0,0.836364,0.833333,0.857143,0.833333,0.873239,1.0,0.036364,0.842939,0.66231,0,0,4,0,23,0,EsotericSoftware_reflectasm,20260510T154820Z__EsotericSoftware_reflectasm__e34c5e8b,v2
0,16,0,27,2,claude,1,3,0,0.8,0.786667,1.0,0.846154,0.833333,0.869565,0.833333,0.813793,1.0,0.038462,0.839513,0.652809,0,1,5,0,23,0,EsotericSoftware_reflectasm,20260510T154820Z__EsotericSoftware_reflectasm__e34c5e8b,v3
3,30,14,305,63,claude,28,5,0,0.620209,0.637037,0.5,0.534137,0.635294,0.740426,0.6,0.887737,0.989804,0.176707,0.589503,0.611768,1,2,25,0,105,5,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,generated
5,32,10,322,55,claude,28,7,0,0.542056,0.599755,0.583333,0.5,0.674847,0.725,0.638037,0.850694,1.0,0.174419,0.578304,0.613905,0,5,40,0,104,4,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,v2
11,48,16,290,64,claude,43,8,0,0.417582,0.525529,0.466667,0.502092,0.517647,0.491379,0.588235,0.767273,1.0,0.16318,0.494449,0.544427,0,21,64,0,110,6,esoxjem_MovieGuide,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,v3
4,73,11,218,49,claude,15,16,0,0.33945,0.329114,0.421053,0.38806,0.326531,0.690909,0.503401,0.643564,0.909401,0.069652,0.356896,0.491723,12,0,39,0,156,24,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,generated
2,44,12,202,41,claude,17,19,0,0.309392,0.276753,0.4,0.335079,0.307692,0.571429,0.430769,0.506494,0.940231,0.052356,0.319206,0.423356,7,6,70,0,160,33,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,v2
4,67,10,191,40,claude,12,16,0,0.397906,0.325153,0.444444,0.413793,0.35461,0.71028,0.567376,0.609819,0.891398,0.084881,0.381951,0.509079,12,3,52,0,154,21,evant_binding-collection-adapter,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,v3
2,19,5,262,13,claude,8,47,0,0.372881,0.649446,0.705882,0.703546,0.792208,0.536585,0.831169,0.747475,0.995486,0.12766,0.665526,0.610797,2,1,12,0,353,13,frohoff_ysoserial,20260510T154845Z__frohoff_ysoserial__218bcffc,generated
2,9,0,229,3,claude,0,29,0,0.567164,0.631579,1.0,0.706569,0.893617,0.926829,0.865248,0.705882,0.998965,0.169343,0.746765,0.682008,2,1,58,0,340,16,frohoff_ysoserial,20260510T154845Z__frohoff_ysoserial__218bcffc,v2
4,32,1,311,21,claude,78,3,0,0.44226,0.682014,0.97561,0.756129,0.86758,0.527859,0.894977,0.90631,1.0,0.260645,0.744037,0.694095,1,1,11,0,262,2,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,generated
5,29,1,292,19,claude,66,22,0,0.482412,0.795322,0.97561,0.750999,0.87963,0.576577,0.898148,0.811133,1.0,0.255659,0.774194,0.682072,1,4,22,0,267,3,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,v2
2,27,1,298,25,claude,70,10,0,0.419512,0.755556,0.97561,0.726302,0.858447,0.56,0.858447,0.818381,0.994265,0.23498,0.744101,0.663382,3,1,36,0,275,6,gothinkster_spring-boot-realworld-example-app,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,v3
