agent,commit_sha,repo_slug,repo_url,run_id,status
codex,2243cb8070943f480a278e216239f79ad957c98c,ulisesbocchio_jasypt-spring-boot,https://github.com/ulisesbocchio/jasypt-spring-boot.git,20260505T122153Z__ulisesbocchio_jasypt-spring-boot__2243cb80,failed
codex,243c5aa878b7385ca91c6c17c31eef6dc39f6a6b,mbechler_marshalsec,https://github.com/mbechler/marshalsec.git,20260505T150455Z__mbechler_marshalsec__243c5aa8,failed
codex,218bcffcaaa904a4e392f0c15d9e2874533635a3,frohoff_ysoserial,https://github.com/frohoff/ysoserial.git,20260505T150537Z__frohoff_ysoserial__218bcffc,failed
codex,e1f32e1c437b783ac019754d1b3c4401b67572ba,xtuhcy_gecco,https://github.com/xtuhcy/gecco.git,20260505T150549Z__xtuhcy_gecco__e1f32e1c,failed
codex,4e7b6b341989132f49a6abd7588bdfed093fdbe6,happyfish100_fastdfs-client-java,https://github.com/happyfish100/fastdfs-client-java.git,20260506T082045Z__happyfish100_fastdfs-client-java__4e7b6b34,failed
codex,9540ecc7265befc2253d1441bb9753dc64f8c868,JakeWharton_RxRelay,https://github.com/JakeWharton/RxRelay.git,20260506T082105Z__JakeWharton_RxRelay__9540ecc7,failed
codex,bf149df61f03e7191f0a0cc71dfb2352f91173b2,amitshekhariitbhu_Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database.git,20260506T082129Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,failed
codex,611b12c86f61a7a30d8edb735110450c79b2637a,amitshekhariitbhu_PRDownloader,https://github.com/amitshekhariitbhu/PRDownloader.git,20260506T082136Z__amitshekhariitbhu_PRDownloader__611b12c8,failed
codex,dc1f20fbf42b111b0575b98210e543b781e10cc3,esoxjem_MovieGuide,https://github.com/esoxjem/MovieGuide.git,20260506T083333Z__esoxjem_MovieGuide__dc1f20fb,failed
codex,8e18d20dc477aa9782e1ca0fa38cd666505e39a3,19MisterX98_SeedcrackerX,https://github.com/19MisterX98/SeedcrackerX.git,20260507T093402Z__19MisterX98_SeedcrackerX__8e18d20d,failed
codex,9cf50bf9b751b40778f473f3b19fcfe2c4d40599,airbnb_native-navigation,https://github.com/airbnb/native-navigation.git,20260507T093422Z__airbnb_native-navigation__9cf50bf9,failed
codex,4fc23ccbd610ec16d14c2e7728e0593bffa6ac64,awaitility_awaitility,https://github.com/awaitility/awaitility.git,20260507T093651Z__awaitility_awaitility__4fc23ccb,failed
codex,f61030e46269319e2d72b938501676420657b9c8,DantSu_ESCPOS-ThermalPrinter-Android,https://github.com/DantSu/ESCPOS-ThermalPrinter-Android.git,20260507T093656Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,failed
codex,3faa6b27a36fe93c71c1b475579f9f57a8698da3,elvishew_xLog,https://github.com/elvishew/xLog.git,20260507T093701Z__elvishew_xLog__3faa6b27,failed
codex,e34c5e8b816ec49b094e8e1d29843458ee77a90b,EsotericSoftware_reflectasm,https://github.com/EsotericSoftware/reflectasm.git,20260507T093708Z__EsotericSoftware_reflectasm__e34c5e8b,failed
codex,ac7972e14a21e28d2fb74f1470caedec6b84d985,evant_binding-collection-adapter,https://github.com/evant/binding-collection-adapter.git,20260507T093714Z__evant_binding-collection-adapter__ac7972e1,failed
codex,ee17e31aafe733d98c4853c8b9a74d7f2f6c924a,gothinkster_spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app.git,20260507T093719Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,failed
codex,ae761b89450812fab4cd7bba6626f9874705ca40,Grt1228_chatgpt-java,https://github.com/Grt1228/chatgpt-java.git,20260507T093724Z__Grt1228_chatgpt-java__ae761b89,error
codex,d4450831533e47a5c0cb361edb80dad43db228a4,j-easy_easy-rules,https://github.com/j-easy/easy-rules.git,20260507T093731Z__j-easy_easy-rules__d4450831,failed
codex,23e17cf37aa4d7205f6229a8b58ebe845e361131,jOOQ_jOOR,https://github.com/jOOQ/jOOR.git,20260508T095107Z__jOOQ_jOOR__23e17cf3,failed
codex,24cb9eda27550a4db844267c3e280e32cf917b12,LianjiaTech_retrofit-spring-boot-starter,https://github.com/LianjiaTech/retrofit-spring-boot-starter.git,20260508T095113Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,failed
codex,043db6419d1638ea9f8f0b8262950fba576c2806,linkedin_kafka-monitor,https://github.com/linkedin/kafka-monitor.git,20260508T095119Z__linkedin_kafka-monitor__043db641,failed
codex,a81ec4740a0c7c99a06ebffb43a14168beadffc3,macrozheng_mall-tiny,https://github.com/macrozheng/mall-tiny.git,20260508T095125Z__macrozheng_mall-tiny__a81ec474,error
codex,f78edcf1117a0aa858a3d04bb24d86bf9ad51bb2,Meituan-Dianping_walle,https://github.com/Meituan-Dianping/walle.git,20260508T095131Z__Meituan-Dianping_walle__f78edcf1,failed
codex,b5419b186e4882290a188d11d6e661d4f56bd8fd,Mojang_brigadier,https://github.com/Mojang/brigadier.git,20260508T095136Z__Mojang_brigadier__b5419b18,failed
codex,c2c5bb4ccac0ef260bd2b954379fc5dd1e0eaeb1,monkeyWie_proxyee,https://github.com/monkeyWie/proxyee.git,20260508T095142Z__monkeyWie_proxyee__c2c5bb4c,failed
codex,8d3a02714b52683e49ed83184eb74b9241580cf5,mouzt_mzt-biz-log,https://github.com/mouzt/mzt-biz-log.git,20260508T095147Z__mouzt_mzt-biz-log__8d3a0271,failed
codex,e8df64d86118d73572f17b2f23528c1817fe8cc9,Netflix_concurrency-limits,https://github.com/Netflix/concurrency-limits.git,20260508T095153Z__Netflix_concurrency-limits__e8df64d8,failed
codex,ddfde340e4c1f3acb6bfe10b8c3804dd63ae121b,pwittchen_ReactiveNetwork,https://github.com/pwittchen/ReactiveNetwork.git,20260508T095158Z__pwittchen_ReactiveNetwork__ddfde340,failed
codex,a27f6e4151ba7b39965ca47edb2bf0aeed7102e5,RikkaApps_Shizuku-API,https://github.com/RikkaApps/Shizuku-API.git,20260508T095204Z__RikkaApps_Shizuku-API__a27f6e41,failed
codex,269096609cb81dad5e21c8d19e669a656bebacf4,TheoKanning_openai-java,https://github.com/TheoKanning/openai-java.git,20260508T095210Z__TheoKanning_openai-java__26909660,failed
codex,24fe3186825013545b83430d1a5e7ae3dba91f78,whwlsfb_JDumpSpider,https://github.com/whwlsfb/JDumpSpider.git,20260508T095214Z__whwlsfb_JDumpSpider__24fe3186,failed
codex,eb4d0a6b2b117285519b3c6f256cdb35ab13e056,YeautyYE_netty-websocket-spring-boot-starter,https://github.com/YeautyYE/netty-websocket-spring-boot-starter.git,20260508T095219Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,failed
codex,0da571201671956ea0a3593d2eef529c8bfab139,JMCuixy_swagger2word,https://github.com/JMCuixy/swagger2word.git,20260508T095225Z__JMCuixy_swagger2word__0da57120,failed
codex,90faafbb306e6eea4f71616c7d0f0da39160aeb0,eugene-khyst_postgresql-event-sourcing,https://github.com/eugene-khyst/postgresql-event-sourcing.git,20260508T095230Z__eugene-khyst_postgresql-event-sourcing__90faafbb,failed
codex,d3d721fb849f164a4661c9bd55ad038736ece34a,facebook_SoLoader,https://github.com/facebook/SoLoader.git,20260508T095237Z__facebook_SoLoader__d3d721fb,failed
codex,cf1cd118d63c4114a0536d879cf06cde78c05049,feiniaojin_graceful-response,https://github.com/feiniaojin/graceful-response.git,20260508T095244Z__feiniaojin_graceful-response__cf1cd118,failed
codex,9be9c0fb02f95f20fb230bcc88236807b1520b5e,jenkinsci_jenkinsfile-runner,https://github.com/jenkinsci/jenkinsfile-runner.git,20260508T095249Z__jenkinsci_jenkinsfile-runner__9be9c0fb,failed
codex,c799c5e17f067f7bdc5abf28f6377891fb182610,mitre_HTTP-Proxy-Servlet,https://github.com/mitre/HTTP-Proxy-Servlet.git,20260508T095255Z__mitre_HTTP-Proxy-Servlet__c799c5e1,failed
codex,a82af8a530988f1ace4c0579762d7620aeea7561,stealthcopter_AndroidNetworkTools,https://github.com/stealthcopter/AndroidNetworkTools.git,20260508T095300Z__stealthcopter_AndroidNetworkTools__a82af8a5,failed
claude,8e18d20dc477aa9782e1ca0fa38cd666505e39a3,19MisterX98_SeedcrackerX,https://github.com/19MisterX98/SeedcrackerX.git,20260510T103653Z__19MisterX98_SeedcrackerX__8e18d20d,failed
claude,9cf50bf9b751b40778f473f3b19fcfe2c4d40599,airbnb_native-navigation,https://github.com/airbnb/native-navigation.git,20260510T154735Z__airbnb_native-navigation__9cf50bf9,failed
claude,bf149df61f03e7191f0a0cc71dfb2352f91173b2,amitshekhariitbhu_Android-Debug-Database,https://github.com/amitshekhariitbhu/Android-Debug-Database.git,20260510T154742Z__amitshekhariitbhu_Android-Debug-Database__bf149df6,failed
claude,611b12c86f61a7a30d8edb735110450c79b2637a,amitshekhariitbhu_PRDownloader,https://github.com/amitshekhariitbhu/PRDownloader.git,20260510T154753Z__amitshekhariitbhu_PRDownloader__611b12c8,failed
claude,4fc23ccbd610ec16d14c2e7728e0593bffa6ac64,awaitility_awaitility,https://github.com/awaitility/awaitility.git,20260510T154759Z__awaitility_awaitility__4fc23ccb,failed
claude,f61030e46269319e2d72b938501676420657b9c8,DantSu_ESCPOS-ThermalPrinter-Android,https://github.com/DantSu/ESCPOS-ThermalPrinter-Android.git,20260510T154807Z__DantSu_ESCPOS-ThermalPrinter-Android__f61030e4,failed
claude,3faa6b27a36fe93c71c1b475579f9f57a8698da3,elvishew_xLog,https://github.com/elvishew/xLog.git,20260510T154813Z__elvishew_xLog__3faa6b27,failed
claude,e34c5e8b816ec49b094e8e1d29843458ee77a90b,EsotericSoftware_reflectasm,https://github.com/EsotericSoftware/reflectasm.git,20260510T154820Z__EsotericSoftware_reflectasm__e34c5e8b,failed
claude,dc1f20fbf42b111b0575b98210e543b781e10cc3,esoxjem_MovieGuide,https://github.com/esoxjem/MovieGuide.git,20260510T154826Z__esoxjem_MovieGuide__dc1f20fb,failed
claude,ac7972e14a21e28d2fb74f1470caedec6b84d985,evant_binding-collection-adapter,https://github.com/evant/binding-collection-adapter.git,20260510T154832Z__evant_binding-collection-adapter__ac7972e1,failed
claude,218bcffcaaa904a4e392f0c15d9e2874533635a3,frohoff_ysoserial,https://github.com/frohoff/ysoserial.git,20260510T154845Z__frohoff_ysoserial__218bcffc,error
claude,ee17e31aafe733d98c4853c8b9a74d7f2f6c924a,gothinkster_spring-boot-realworld-example-app,https://github.com/gothinkster/spring-boot-realworld-example-app.git,20260511T105128Z__gothinkster_spring-boot-realworld-example-app__ee17e31a,failed
claude,ae761b89450812fab4cd7bba6626f9874705ca40,Grt1228_chatgpt-java,https://github.com/Grt1228/chatgpt-java.git,20260511T105134Z__Grt1228_chatgpt-java__ae761b89,error
claude,4e7b6b341989132f49a6abd7588bdfed093fdbe6,happyfish100_fastdfs-client-java,https://github.com/happyfish100/fastdfs-client-java.git,20260511T105140Z__happyfish100_fastdfs-client-java__4e7b6b34,failed
claude,d4450831533e47a5c0cb361edb80dad43db228a4,j-easy_easy-rules,https://github.com/j-easy/easy-rules.git,20260511T105145Z__j-easy_easy-rules__d4450831,failed
claude,9540ecc7265befc2253d1441bb9753dc64f8c868,JakeWharton_RxRelay,https://github.com/JakeWharton/RxRelay.git,20260511T105150Z__JakeWharton_RxRelay__9540ecc7,failed
claude,23e17cf37aa4d7205f6229a8b58ebe845e361131,jOOQ_jOOR,https://github.com/jOOQ/jOOR.git,20260511T105155Z__jOOQ_jOOR__23e17cf3,failed
claude,24cb9eda27550a4db844267c3e280e32cf917b12,LianjiaTech_retrofit-spring-boot-starter,https://github.com/LianjiaTech/retrofit-spring-boot-starter.git,20260511T105200Z__LianjiaTech_retrofit-spring-boot-starter__24cb9eda,error
claude,043db6419d1638ea9f8f0b8262950fba576c2806,linkedin_kafka-monitor,https://github.com/linkedin/kafka-monitor.git,20260511T105205Z__linkedin_kafka-monitor__043db641,failed
claude,a81ec4740a0c7c99a06ebffb43a14168beadffc3,macrozheng_mall-tiny,https://github.com/macrozheng/mall-tiny.git,20260511T105211Z__macrozheng_mall-tiny__a81ec474,error
claude,243c5aa878b7385ca91c6c17c31eef6dc39f6a6b,mbechler_marshalsec,https://github.com/mbechler/marshalsec.git,20260511T105217Z__mbechler_marshalsec__243c5aa8,failed
claude,f78edcf1117a0aa858a3d04bb24d86bf9ad51bb2,Meituan-Dianping_walle,https://github.com/Meituan-Dianping/walle.git,20260513T080244Z__Meituan-Dianping_walle__f78edcf1,failed
claude,b5419b186e4882290a188d11d6e661d4f56bd8fd,Mojang_brigadier,https://github.com/Mojang/brigadier.git,20260513T080251Z__Mojang_brigadier__b5419b18,error
claude,c2c5bb4ccac0ef260bd2b954379fc5dd1e0eaeb1,monkeyWie_proxyee,https://github.com/monkeyWie/proxyee.git,20260513T080257Z__monkeyWie_proxyee__c2c5bb4c,passed
claude,8d3a02714b52683e49ed83184eb74b9241580cf5,mouzt_mzt-biz-log,https://github.com/mouzt/mzt-biz-log.git,20260513T080303Z__mouzt_mzt-biz-log__8d3a0271,failed
claude,e8df64d86118d73572f17b2f23528c1817fe8cc9,Netflix_concurrency-limits,https://github.com/Netflix/concurrency-limits.git,20260513T080309Z__Netflix_concurrency-limits__e8df64d8,error
claude,ddfde340e4c1f3acb6bfe10b8c3804dd63ae121b,pwittchen_ReactiveNetwork,https://github.com/pwittchen/ReactiveNetwork.git,20260513T080314Z__pwittchen_ReactiveNetwork__ddfde340,failed
claude,a27f6e4151ba7b39965ca47edb2bf0aeed7102e5,RikkaApps_Shizuku-API,https://github.com/RikkaApps/Shizuku-API.git,20260513T080320Z__RikkaApps_Shizuku-API__a27f6e41,failed
claude,269096609cb81dad5e21c8d19e669a656bebacf4,TheoKanning_openai-java,https://github.com/TheoKanning/openai-java.git,20260513T080328Z__TheoKanning_openai-java__26909660,failed
claude,2243cb8070943f480a278e216239f79ad957c98c,ulisesbocchio_jasypt-spring-boot,https://github.com/ulisesbocchio/jasypt-spring-boot.git,20260513T080335Z__ulisesbocchio_jasypt-spring-boot__2243cb80,failed
claude,24fe3186825013545b83430d1a5e7ae3dba91f78,whwlsfb_JDumpSpider,https://github.com/whwlsfb/JDumpSpider.git,20260513T080342Z__whwlsfb_JDumpSpider__24fe3186,failed
claude,e1f32e1c437b783ac019754d1b3c4401b67572ba,xtuhcy_gecco,https://github.com/xtuhcy/gecco.git,20260514T193759Z__xtuhcy_gecco__e1f32e1c,failed
claude,eb4d0a6b2b117285519b3c6f256cdb35ab13e056,YeautyYE_netty-websocket-spring-boot-starter,https://github.com/YeautyYE/netty-websocket-spring-boot-starter.git,20260514T193807Z__YeautyYE_netty-websocket-spring-boot-starter__eb4d0a6b,failed
claude,0da571201671956ea0a3593d2eef529c8bfab139,JMCuixy_swagger2word,https://github.com/JMCuixy/swagger2word.git,20260515T132132Z__JMCuixy_swagger2word__0da57120,failed
claude,90faafbb306e6eea4f71616c7d0f0da39160aeb0,eugene-khyst_postgresql-event-sourcing,https://github.com/eugene-khyst/postgresql-event-sourcing.git,20260515T132141Z__eugene-khyst_postgresql-event-sourcing__90faafbb,failed
claude,d3d721fb849f164a4661c9bd55ad038736ece34a,facebook_SoLoader,https://github.com/facebook/SoLoader.git,20260515T132149Z__facebook_SoLoader__d3d721fb,failed
claude,cf1cd118d63c4114a0536d879cf06cde78c05049,feiniaojin_graceful-response,https://github.com/feiniaojin/graceful-response.git,20260515T132155Z__feiniaojin_graceful-response__cf1cd118,passed
claude,9be9c0fb02f95f20fb230bcc88236807b1520b5e,jenkinsci_jenkinsfile-runner,https://github.com/jenkinsci/jenkinsfile-runner.git,20260515T132202Z__jenkinsci_jenkinsfile-runner__9be9c0fb,failed
claude,c799c5e17f067f7bdc5abf28f6377891fb182610,mitre_HTTP-Proxy-Servlet,https://github.com/mitre/HTTP-Proxy-Servlet.git,20260515T132208Z__mitre_HTTP-Proxy-Servlet__c799c5e1,failed
claude,a82af8a530988f1ace4c0579762d7620aeea7561,stealthcopter_AndroidNetworkTools,https://github.com/stealthcopter/AndroidNetworkTools.git,20260518T082419Z__stealthcopter_AndroidNetworkTools__a82af8a5,failed
